testMovieClusterId, testMovieId, predictedMovieClusterId, predictedMovieId, correctness
138,9535065,138,1321819,correct
139,3574823,139,14359457,correct
139,14359457,139,3574823,correct
140,2396904,85,19845179,incorrect
140,10025286,30,3850349,incorrect
142,1250208,142,3548070,correct
142,3548070,49,25517416,incorrect
143,5688616,143,6416597,correct
143,6416597,143,5688616,correct
144,518615,144,473086,correct
144,16782,144,473086,correct
145,9467480,145,8905156,correct
145,10862322,145,8905156,correct
145,10862318,111,4051128,incorrect
145,8905156,145,10862322,correct
146,1667210,52,3125976,incorrect
146,14480043,291,1126572,incorrect
148,5483227,148,69625,correct
148,69625,24,5884079,incorrect
149,2820813,149,22375764,correct
150,3995423,112,1094719,incorrect
151,2571348,151,8162204,correct
152,21001056,152,461335,correct
152,461335,152,21001056,correct
153,2991530,24,5884079,incorrect
153,441926,153,312498,correct
153,312498,153,2991530,correct
154,7971186,154,5604985,correct
154,5604985,154,7971186,correct
155,23624157,155,16881835,correct
156,61507,156,25565399,correct
158,23464956,158,74904,correct
158,74904,158,23464956,correct
159,32084980,159,18732394,correct
159,18732394,159,32084980,correct
160,3326231,160,1187057,correct
160,1187057,160,3326231,correct
162,61529,162,445937,correct
163,884742,163,7006903,correct
163,62115,163,884742,correct
164,3477283,239,1356971,incorrect
164,4048011,43,4899791,incorrect
165,1301789,165,66322,correct
165,66322,293,2010489,incorrect
166,2310279,166,14667216,correct
166,14667216,166,2310279,correct
169,4584210,169,171628,correct
170,8949772,170,3941009,correct
171,4186631,235,62084,incorrect
171,9994307,171,4186631,correct
172,2345044,227,11901104,incorrect
172,2345042,172,2345044,correct
173,948337,173,58147,correct
173,58147,173,948337,correct
174,9307052,174,1114328,correct
174,2360074,174,1114328,correct
174,1812196,174,2360074,correct
176,627935,29,3599765,incorrect
177,26461072,177,2451146,correct
177,2451146,9,75266,incorrect
178,716738,194,9379703,incorrect
178,3416335,107,6004920,incorrect
179,1621292,293,3009141,incorrect
181,17100455,181,6210306,correct
181,6210306,181,17100455,correct
182,19958360,182,28255978,correct
182,28255978,182,19958360,correct
183,879006,62,63310,incorrect
183,5097084,144,473086,incorrect
184,187636,225,8851344,incorrect
184,2615418,76,1472852,incorrect
185,1565181,86,773089,incorrect
185,616554,12,3954917,incorrect
186,24029496,99,2313750,incorrect
187,2920843,187,1835620,correct
187,1835620,187,2920843,correct
188,594105,188,61508,correct
188,61508,188,594105,correct
189,253833,236,74956,incorrect
190,903140,190,5064685,correct
191,16055802,191,3771276,correct
191,3771276,191,16055802,correct
192,10915095,192,1312526,correct
194,1560455,194,9379703,correct
195,7624920,195,3076353,correct
195,3076353,195,7624920,correct
197,11615294,261,29657080,incorrect
197,1571564,6,4270540,incorrect
198,25202200,198,24841297,correct
199,2721832,186,24029496,incorrect
200,21488993,200,3268903,correct
200,3268903,200,21488993,correct
201,3216798,201,30275,correct
202,10746393,202,1515876,correct
202,1515876,202,10746393,correct
203,24838328,203,30490651,correct
203,31664578,203,24838328,correct
203,23487599,203,30490651,correct
204,3831594,204,2166828,correct
204,3038177,105,585824,incorrect
204,24872954,140,10025286,incorrect
204,2166828,204,3831594,correct
205,587807,29,3599765,incorrect
206,2251266,206,154956,correct
208,2425302,208,186856,correct
209,10705512,232,3383198,incorrect
210,570428,210,2594501,correct
210,2594501,210,570428,correct
212,2623071,212,2186688,correct
214,1436551,214,3676087,correct
214,3676087,140,2396904,incorrect
216,4446720,216,12427020,correct
216,12427020,216,4446720,correct
218,5858177,122,628843,incorrect
218,2738256,125,3947408,incorrect
219,189088,219,77223,correct
219,77223,219,189088,correct
220,20181491,220,18618306,correct
221,1365630,221,61071,correct
221,61071,221,1365630,correct
223,2688309,223,5096585,correct
223,5096585,223,2688309,correct
223,511228,223,2688309,correct
224,682275,224,80510,correct
224,80510,224,682275,correct
225,1686611,117,950929,incorrect
226,7850702,226,9285648,correct
227,11901104,113,20179415,incorrect
227,2497347,43,8526754,incorrect
228,4578695,228,23880,correct
228,23880,228,4578695,correct
229,9969768,229,11617594,correct
229,11617594,229,9969768,correct
230,16794053,230,11665498,correct
231,997918,9,75266,incorrect
231,3869472,231,997918,correct
232,3383231,232,3383198,correct
232,3383198,232,3383231,correct
233,62668,233,180785,correct
233,180785,233,62668,correct
234,7148117,52,1324852,incorrect
234,4562661,86,773089,incorrect
235,62084,235,261402,correct
235,5590209,27,5440222,incorrect
235,982180,235,13713239,correct
235,6309072,235,13713239,correct
235,261402,235,62084,correct
235,556241,235,261402,correct
235,13713239,235,62084,correct
236,6759112,20,28485791,incorrect
237,1051659,237,1051653,correct
237,1051653,237,1051659,correct
239,1356982,239,1356971,correct
239,1356971,239,1356982,correct
240,31301713,240,1364445,correct
241,16851708,241,28222345,correct
241,28222345,257,19457040,incorrect
242,1622296,149,22375764,incorrect
242,4644909,242,1622296,correct
243,267848,243,76331,correct
243,76331,24,5884079,incorrect
244,6987479,3,3653768,incorrect
244,2413074,166,2310279,incorrect
247,2698486,247,673158,correct
247,31180701,247,673158,correct
247,673158,247,2698486,correct
248,2245922,33,15272880,incorrect
249,8208317,150,3995423,incorrect
249,5747495,190,903140,incorrect
250,17512929,152,1411283,incorrect
250,491329,51,7481126,incorrect
251,9019720,251,4877373,correct
253,12782772,164,3477283,incorrect
253,62118,253,12782772,correct
254,31307575,254,23654460,correct
254,32368036,13,564966,incorrect
254,31150255,186,12178589,incorrect
254,23654460,254,31307575,correct
255,4908352,255,20181213,correct
255,20181213,255,4908352,correct
257,19457040,34,5444993,incorrect
257,4639948,257,19457040,correct
258,7177441,258,6455349,correct
258,6455349,258,7177441,correct
259,3450583,272,596639,incorrect
259,3450570,259,3450569,correct
259,3450569,259,3450570,correct
260,709318,260,2462597,correct
261,29657080,261,196176,correct
261,196176,261,29657080,correct
262,894764,262,5484444,correct
262,5484444,262,894764,correct
263,1059238,263,74018,correct
263,7754795,263,74018,correct
263,74018,263,7754795,correct
263,6554925,285,3740551,incorrect
264,9431893,264,955409,correct
264,955409,121,905188,incorrect
265,451817,153,2991530,incorrect
267,3231682,267,29781,correct
267,29781,267,3231682,correct
268,3406838,28,685440,incorrect
268,76385,268,3406838,correct
269,30809,269,76387,correct
270,1438861,270,9075293,correct
270,9075293,270,1438861,correct
272,596639,260,709318,incorrect
272,2338797,272,596639,correct
273,2821933,273,3759215,correct
275,7960697,79,16271350,incorrect
276,5566878,111,4051128,incorrect
276,881249,276,5566878,correct
277,31905391,277,55325,correct
277,55325,277,31905391,correct
278,68374,183,5097084,incorrect
278,25862293,123,2010815,incorrect
279,5971762,194,9379703,incorrect
279,899442,227,11901104,incorrect
280,1126385,155,23624157,incorrect
280,1832104,260,709318,incorrect
281,15114362,260,709318,incorrect
281,3654363,280,1832104,incorrect
282,8931289,228,4578695,incorrect
283,16780427,283,16780424,correct
283,16780424,283,16780427,correct
284,692785,9,75266,incorrect
284,350584,284,692785,correct
285,3707686,285,3740551,correct
285,3740551,285,3707686,correct
286,1721255,286,1721169,correct
286,1721169,286,1721255,correct
287,7224803,152,21001056,incorrect
287,572255,24,5884079,incorrect
289,4940876,289,438356,correct
289,6100131,289,438356,correct
289,438356,289,4940876,correct
290,10587298,79,16271350,incorrect
290,3585054,198,24841297,incorrect
291,7561586,248,2245922,incorrect
293,3009141,34,1584998,incorrect
293,2010489,293,3009141,correct
294,4622516,113,3623103,incorrect
294,1811784,10,98503,incorrect
295,23205095,76,1472852,incorrect
296,5515243,296,42313,correct
296,42313,296,5515243,correct
297,1128527,297,1693762,correct
298,22489028,298,9804175,correct
298,9804175,298,22489028,correct
299,7255312,299,927058,correct
299,927058,299,7255312,correct
300,13361675,300,19978736,correct
300,19978736,300,13361675,correct
302,158982,10,1091346,incorrect
302,193862,140,2396904,incorrect
302,3535920,289,6100131,incorrect
302,76353,10,1091346,incorrect
